node_id;cluster_id;transactionAmount|Сумма;transactionDateTime|Количество;transactionAmount|Среднее;merchantCategoryCode|Кол-во уникальных
0;0;44,68973007698682;5;10,452348513412375;1
1;1;416,94143609248886;9;46,2621239679106;1
2;2;919,7657236959581;11;81,9398363926284;1
3;3;998,8839204858224;14;71,13579815199661;2
4;4;1197,3629187492932;16;73,83250066900003;2
5;5;1608,6669726811665;18;88,65697958750128;2
6;6;2497,241169548517;25;100,62336712875431;2
7;7;2805,779091136155;25;111,19249000912058;2
8;8;3626,329451264862;29;123,52197287690355;2
9;9;6855,134574031609;51;134,60863610917662;2
10;10;11969,251321303464;80;148,08548824674827;2
11;11;7889,787076125854;50;159,66755172798713;2
12;12;6397,974336528408;41;157,98194707577184;2
13;13;3637,955126510875;26;136,13053971842385;1
14;14;1904,9075269319264;16;114,98022488949259;1
15;15;80,12920147915352;7;11,01507069424719;1
16;16;178,995230073374;9;19,280742078774264;2
17;17;483,5902345703932;11;43,77926424023995;2
18;18;674,6541729249069;13;53,78412250033754;2
19;19;820,9673327721373;13;61,44229803232541;2
20;20;1631,2404263325411;20;79,96910630412287;2
21;21;2546,3226253897196;26;98,32099708349051;3
22;22;3874,599601660137;34;112,63279059115924;3
23;23;7152,136362017148;56;124,20977420410274;3
24;24;9352,314163831486;68;135,87890872048757;3
25;25;10203,736223282645;70;145,42202972975156;3
26;26;9519,2364454405;62;155,51679577589383;2
27;27;3915,7097414723626;22;175,67745503524839;2
28;28;4458,221921422698;27;167,8547897183521;1
29;29;5858,071363656522;37;161,06407476591366;1
30;30;111,013474164006;10;11,095190556384122;2
31;31;236,37362852124105;11;22,288528969653754;2
32;32;484,1218179484295;14;34,453509958645895;2
33;33;652,0210765898402;14;46,88941703004396;2
34;34;1710,0946718454052;21;75,12009390564998;3
35;35;2894,3067057930766;31;94,95637287135594;3
36;36;3112,918301077716;28;109,78962854646146;3
37;37;6033,203675707612;49;122,48475793920407;3
38;38;14749,115837768677;110;134,99733852971215;3
39;39;13034,717215340179;88;147,80195463540855;3
40;40;23283,208549279687;151;154,10645868788015;3
41;41;9687,13612815537;61;164,99990269395374;3
42;42;2612,104994761061;13;200,46957416436737;2
43;43;2156,4873279086883;12;184,38681746630635;1
44;44;1785,98708998277;8;217,6434797781243;1
45;45;298,22399460889363;16;16,9833749668108;3
46;46;442,02251690199233;16;25,110734043377064;3
47;47;703,644536599311;17;39,13275304722745;3
48;48;928,1267835400512;18;50,89020048232744;3
49;49;1500,8098913951176;21;70,19751862948942;3
50;50;1758,9781592644613;20;87,3657195728624;3
51;51;3144,6286379540666;31;102,92438848657795;3
52;52;4310,246669314878;37;116,0297595592185;3
53;53;6922,6332805883285;54;128,43976670017432;3
54;54;13080,703374849676;92;141,7475430592193;3
55;55;175683,47118780998;1185;148,96696827870352;3
56;56;11595,331863961852;71;163,4902876988859;3
57;57;8772,49137273471;52;178,7349573144533;3
58;58;3510,2309132837554;15;235,53243915094092;2
59;59;1699,0692530351162;5;302,4219979723455;1
60;60;440,9575310553558;20;21,281313277168852;3
61;61;727,3018935613491;20;37,395994162686584;3
62;62;1082,7585997107767;21;51,88934272426632;3
63;63;1267,6530418079367;20;64,06768361545713;3
64;64;1786,2294824789865;23;77,03575669039945;3
65;65;3297,7795402961683;33;95,05771416523368;3
66;66;5921,918259955239;51;114,64587274553698;4
67;67;8713,123989335467;68;126,12963060328565;4
68;68;11380,460682121258;83;137,17026286832765;4
69;69;20726,89205992297;140;146,80044296932715;4
70;70;20846,386111445678;135;158,83598950012566;3
71;71;7852,641801188372;45;174,51151547844435;3
72;72;5376,612382868861;26;208,99621990846498;3
73;73;1375,392471190155;5;284,61753386195176;2
74;74;1405,7970546149866;4;395,10620479286484;2
75;75;588,8657804845279;22;25,167567773452124;4
76;76;794,0483800247949;22;34,94682198685008;4
77;77;1191,7878221039919;23;50,51019277957719;3
78;78;1574,917622178239;25;63,11383320059955;3
79;79;2024,7691843763887;26;75,54620023315472;3
80;80;3936,581966184976;39;97,83709841874989;4
81;81;5372,207633268077;48;112,37147743702151;4
82;82;8140,489596987797;66;123,58585111764584;4
83;83;13117,555949008241;98;134,1276585606343;4
84;84;18472,74645295243;126;147,0653171276678;4
85;85;15198,819199876736;98;155,0338895628002;4
86;86;23354,739944485595;153;163,28577110596078;4
87;87;5351,329564436782;28;191,6130235041549;3
88;88;2857,936769170971;12;233,75115870142335;3
89;89;2753,187956430664;10;271,56623645032255;3
90;90;697,0547839829638;25;27,595955261821768;4
91;91;1144,328765877125;25;46,52514651564077;4
92;92;1742,0162698040233;28;62,47686669711956;4
93;93;2150,2902456629395;29;73,201847631241;4
94;94;3010,9259414759226;33;91,55046731731773;4
95;95;4782,656779841242;45;105,90481219471309;4
96;96;8284,863049873615;70;118,3593771855453;4
97;97;8711,678786492206;68;128,85070585833384;4
98;98;13314,868324184486;95;140,51377320471985;4
99;99;78318,05432545338;540;145,13508491819059;4
100;100;227168,41176252207;1537;147,8055596268809;4
101;101;37772,34102008028;245;165,8318626598949;4
102;102;10578,504435800935;62;180,05735288543178;4
103;103;5269,781772790514;25;208,38171520955393;4
104;104;4110,977647181906;17;242,67574984271383;4
105;105;920,4925603472541;27;33,2618365965624;4
106;106;1231,3842286771765;28;43,02854892051674;4
107;107;1813,1340221948262;30;58,789916086722954;4
108;108;2311,2056027720687;32;72,15798901310264;4
109;109;2519,1381032819054;30;83,01196888140262;4
110;110;3591,361761511932;37;98,23832872034411;4
111;111;5535,431239364975;51;106,13254355931821;4
112;112;7674,813458028215;66;116,10802952486763;4
113;113;10788,191865306348;84;127,14576844142569;4
114;114;45575,88729991118;315;136,07662720184805;4
115;115;786743,1909945139;5228;150,17222916122827;4
116;116;72180,80247440212;464;155,314065199396;4
